"fit","pred"
"1","CAISA",498.339956934298
"2","CAISA",503.589128612363
"3","CAISA",0
"4","CAISA",0
"5","CAISA",0
"6","CAISA",0
"7","CAISA",0
"8","CAISA",0
"9","CAISA",0
"10","CAISA",0
"11","CAISA",0
"12","CAISA",0
"13","CAISA",0
"14","CAISA",0
"15","CAISA",0
"16","CAISA",0
"17","CAISA",0
"18","CAISA",0
"19","CAISA",0
"20","CAISA",0
"21","SUSIE",609.674017824469
"22","SUSIE",614.389448563876
"23","SUSIE",0
"24","SUSIE",0
"25","SUSIE",0
"26","SUSIE",0
"27","SUSIE",0
"28","SUSIE",0
"29","SUSIE",0
"30","SUSIE",0
"31","SUSIE",0
"32","SUSIE",0
"33","SUSIE",0
"34","SUSIE",0
"35","SUSIE",0
"36","SUSIE",0
"37","SUSIE",0
"38","SUSIE",0
"39","SUSIE",0
"40","SUSIE",0
"41","VARBVS",491.159889136994
"42","VARBVS",500.371427696119
"43","VARBVS",0
"44","VARBVS",0
"45","VARBVS",0
"46","VARBVS",0
"47","VARBVS",0
"48","VARBVS",0
"49","VARBVS",0
"50","VARBVS",0
"51","VARBVS",0
"52","VARBVS",0
"53","VARBVS",0
"54","VARBVS",0
"55","VARBVS",0
"56","VARBVS",0
"57","VARBVS",0
"58","VARBVS",0
"59","VARBVS",0
"60","VARBVS",0
"61","L0Learn",497.4140913704
"62","L0Learn",513.8595117359
"63","L0Learn",0
"64","L0Learn",0
"65","L0Learn",0
"66","L0Learn",0
"67","L0Learn",0
"68","L0Learn",0
"69","L0Learn",0
"70","L0Learn",0
"71","L0Learn",0
"72","L0Learn",0
"73","L0Learn",0
"74","L0Learn",0
"75","L0Learn",0
"76","L0Learn",0
"77","L0Learn",0
"78","L0Learn",0
"79","L0Learn",0
"80","L0Learn",0
"81","LASSO",518.315607804851
"82","LASSO",516.156387420796
"83","LASSO",0
"84","LASSO",0
"85","LASSO",0
"86","LASSO",0
"87","LASSO",0
"88","LASSO",0
"89","LASSO",0
"90","LASSO",0
"91","LASSO",0
"92","LASSO",0
"93","LASSO",0
"94","LASSO",0
"95","LASSO",0
"96","LASSO",0
"97","LASSO",0
"98","LASSO",0
"99","LASSO",0
"100","LASSO",0
"101","RIDGE",592.779734426947
"102","RIDGE",602.136784767534
"103","RIDGE",0
"104","RIDGE",0
"105","RIDGE",0
"106","RIDGE",0
"107","RIDGE",0
"108","RIDGE",0
"109","RIDGE",0
"110","RIDGE",0
"111","RIDGE",0
"112","RIDGE",0
"113","RIDGE",0
"114","RIDGE",0
"115","RIDGE",0
"116","RIDGE",0
"117","RIDGE",0
"118","RIDGE",0
"119","RIDGE",0
"120","RIDGE",0
"121","E-NET",524.451036812368
"122","E-NET",519.741039008984
"123","E-NET",0
"124","E-NET",0
"125","E-NET",0
"126","E-NET",0
"127","E-NET",0
"128","E-NET",0
"129","E-NET",0
"130","E-NET",0
"131","E-NET",0
"132","E-NET",0
"133","E-NET",0
"134","E-NET",0
"135","E-NET",0
"136","E-NET",0
"137","E-NET",0
"138","E-NET",0
"139","E-NET",0
"140","E-NET",0
"141","BLASSO",538.0021066709
"142","BLASSO",549.651304110656
"143","BLASSO",0
"144","BLASSO",0
"145","BLASSO",0
"146","BLASSO",0
"147","BLASSO",0
"148","BLASSO",0
"149","BLASSO",0
"150","BLASSO",0
"151","BLASSO",0
"152","BLASSO",0
"153","BLASSO",0
"154","BLASSO",0
"155","BLASSO",0
"156","BLASSO",0
"157","BLASSO",0
"158","BLASSO",0
"159","BLASSO",0
"160","BLASSO",0
"161","BayesB",515.638656177982
"162","BayesB",529.094027084569
"163","BayesB",0
"164","BayesB",0
"165","BayesB",0
"166","BayesB",0
"167","BayesB",0
"168","BayesB",0
"169","BayesB",0
"170","BayesB",0
"171","BayesB",0
"172","BayesB",0
"173","BayesB",0
"174","BayesB",0
"175","BayesB",0
"176","BayesB",0
"177","BayesB",0
"178","BayesB",0
"179","BayesB",0
"180","BayesB",0
